location,code,year,prevalence_of_obesity_both_sexes
Afghanistan,AFG,2016,5.5
Africa,,2016,10.6
Albania,ALB,2016,21.7
Algeria,DZA,2016,27.4
Americas,,2016,28.6
Andorra,AND,2016,25.6
Angola,AGO,2016,8.2
Antigua and Barbuda,ATG,2016,18.9
Argentina,ARG,2016,28.3
Armenia,ARM,2016,20.2
Australia,AUS,2016,29
Austria,AUT,2016,20.1
Azerbaijan,AZE,2016,19.9
Bahamas,BHS,2016,31.6
Bahrain,BHR,2016,29.8
Bangladesh,BGD,2016,3.6
Barbados,BRB,2016,23.1
Belarus,BLR,2016,24.5
Belgium,BEL,2016,22.1
Belize,BLZ,2016,24.1
Benin,BEN,2016,9.6
Bhutan,BTN,2016,6.4
Bolivia,BOL,2016,20.2
Bosnia and Herzegovina,BIH,2016,17.9
Botswana,BWA,2016,18.9
Brazil,BRA,2016,22.1
Brunei,BRN,2016,14.1
Bulgaria,BGR,2016,25
Burkina Faso,BFA,2016,5.6
Burundi,BDI,2016,5.4
Cambodia,KHM,2016,3.9
Cameroon,CMR,2016,11.4
Canada,CAN,2016,29.4
Cape Verde,CPV,2016,11.8
Central African Republic,CAF,2016,7.5
Chad,TCD,2016,6.1
Chile,CHL,2016,28
China,CHN,2016,6.2
Colombia,COL,2016,22.3
Comoros,COM,2016,7.8
Congo,COG,2016,9.6
Cook Islands,COK,2016,55.9
Costa Rica,CRI,2016,25.7
Cote d'Ivoire,CIV,2016,10.3
Croatia,HRV,2016,24.4
Cuba,CUB,2016,24.6
Cyprus,CYP,2016,21.8
Czechia,CZE,2016,26
Democratic Republic of Congo,COD,2016,6.7
Denmark,DNK,2016,19.7
Djibouti,DJI,2016,13.5
Dominica,DMA,2016,27.9
Dominican Republic,DOM,2016,27.6
Eastern Mediterranean,,2016,20.8
Ecuador,ECU,2016,19.9
Egypt,EGY,2016,32
El Salvador,SLV,2016,24.6
Equatorial Guinea,GNQ,2016,8
Eritrea,ERI,2016,5
Estonia,EST,2016,21.2
Eswatini,SWZ,2016,16.5
Ethiopia,ETH,2016,4.5
Europe,,2016,23.3
Fiji,FJI,2016,30.2
Finland,FIN,2016,22.2
France,FRA,2016,21.6
Gabon,GAB,2016,15
Gambia,GMB,2016,10.3
Georgia,GEO,2016,21.7
Germany,DEU,2016,22.3
Ghana,GHA,2016,10.9
Greece,GRC,2016,24.9
Grenada,GRD,2016,21.3
Guatemala,GTM,2016,21.2
Guinea,GIN,2016,7.7
Guinea-Bissau,GNB,2016,9.5
Guyana,GUY,2016,20.2
Haiti,HTI,2016,22.7
Honduras,HND,2016,21.4
Hungary,HUN,2016,26.4
Iceland,ISL,2016,21.9
India,IND,2016,3.9
Indonesia,IDN,2016,6.9
Iran,IRN,2016,25.8
Iraq,IRQ,2016,30.4
Ireland,IRL,2016,25.3
Israel,ISR,2016,26.1
Italy,ITA,2016,19.9
Jamaica,JAM,2016,24.7
Japan,JPN,2016,4.3
Jordan,JOR,2016,35.5
Kazakhstan,KAZ,2016,21
Kenya,KEN,2016,7.1
Kiribati,KIR,2016,46
Kuwait,KWT,2016,37.9
Kyrgyzstan,KGZ,2016,16.6
Laos,LAO,2016,5.3
Latvia,LVA,2016,23.6
Lebanon,LBN,2016,32
Lesotho,LSO,2016,16.6
Liberia,LBR,2016,9.9
Libya,LBY,2016,32.5
Lithuania,LTU,2016,26.3
Luxembourg,LUX,2016,22.6
Madagascar,MDG,2016,5.3
Malawi,MWI,2016,5.8
Malaysia,MYS,2016,15.6
Maldives,MDV,2016,8.6
Mali,MLI,2016,8.6
Malta,MLT,2016,28.9
Marshall Islands,MHL,2016,52.9
Mauritania,MRT,2016,12.7
Mauritius,MUS,2016,10.8
Mexico,MEX,2016,28.9
Micronesia (country),FSM,2016,45.8
Moldova,MDA,2016,18.9
Mongolia,MNG,2016,20.6
Montenegro,MNE,2016,23.3
Morocco,MAR,2016,26.1
Mozambique,MOZ,2016,7.2
Myanmar,MMR,2016,5.8
Namibia,NAM,2016,17.2
Nauru,NRU,2016,61
Nepal,NPL,2016,4.1
Netherlands,NLD,2016,20.4
New Zealand,NZL,2016,30.8
Nicaragua,NIC,2016,23.7
Niger,NER,2016,5.5
Nigeria,NGA,2016,8.9
Niue,NIU,2016,50
North Korea,PRK,2016,6.8
North Macedonia,MKD,2016,22.4
Norway,NOR,2016,23.1
Oman,OMN,2016,27
Pakistan,PAK,2016,8.6
Palau,PLW,2016,55.3
Panama,PAN,2016,22.7
Papua New Guinea,PNG,2016,21.3
Paraguay,PRY,2016,20.3
Peru,PER,2016,19.7
Philippines,PHL,2016,6.4
Poland,POL,2016,23.1
Portugal,PRT,2016,20.8
Qatar,QAT,2016,35.1
Romania,ROU,2016,22.5
Russia,RUS,2016,23.1
Rwanda,RWA,2016,5.8
Saint Kitts and Nevis,KNA,2016,22.9
Saint Lucia,LCA,2016,19.7
Saint Vincent and the Grenadines,VCT,2016,23.7
Samoa,WSM,2016,47.3
Sao Tome and Principe,STP,2016,12.4
Saudi Arabia,SAU,2016,35.4
Senegal,SEN,2016,8.8
Serbia,SRB,2016,21.5
Seychelles,SYC,2016,14
Sierra Leone,SLE,2016,8.7
Singapore,SGP,2016,6.1
Slovakia,SVK,2016,20.5
Slovenia,SVN,2016,20.2
Solomon Islands,SLB,2016,22.5
Somalia,SOM,2016,8.3
South Africa,ZAF,2016,28.3
South Korea,KOR,2016,4.7
South-East Asia,,2016,4.7
Spain,ESP,2016,23.8
Sri Lanka,LKA,2016,5.2
Sudan (former),,2016,8.6
Suriname,SUR,2016,26.4
Sweden,SWE,2016,20.6
Switzerland,CHE,2016,19.5
Syria,SYR,2016,27.8
Tajikistan,TJK,2016,14.2
Tanzania,TZA,2016,8.4
Thailand,THA,2016,10
Timor,TLS,2016,3.8
Togo,TGO,2016,8.4
Tonga,TON,2016,48.2
Trinidad and Tobago,TTO,2016,18.6
Tunisia,TUN,2016,26.9
Turkey,TUR,2016,32.1
Turkmenistan,TKM,2016,18.6
Tuvalu,TUV,2016,51.6
Uganda,UGA,2016,5.3
Ukraine,UKR,2016,24.1
United Arab Emirates,ARE,2016,31.7
United Kingdom,GBR,2016,27.8
United States,USA,2016,36.2
Uruguay,URY,2016,27.9
Uzbekistan,UZB,2016,16.6
Vanuatu,VUT,2016,25.2
Venezuela,VEN,2016,25.6
Vietnam,VNM,2016,2.1
Western Pacific,,2016,6.4
World,OWID_WRL,2016,13.1
Yemen,YEM,2016,17.1
Zambia,ZMB,2016,8.1
Zimbabwe,ZWE,2016,15.5
